GMHI,Richness,Evenness,Shannon,Inverse Simpson
-0.3006,70,0.4615,2.6516,7.5432
1.4315,64,0.3993,2.2947,5.6577
0.4365,63,0.4532,2.6043,8.7159
0.4113,63,0.48,2.7583,9.9031
-0.341,69,0.5361,3.0806,13.3218
-0.5574,85,0.5746,3.3015,18.4307
-0.4728,58,0.5009,2.8781,11.8113
-0.5284,65,0.4779,2.746,10.2075
-0.1907,71,0.38,2.1836,3.7184
4.0755,65,0.5035,2.893,10.2899
-0.1329,53,0.4795,2.7551,9.836
-1.9224,46,0.3687,2.1185,5.1511
-2.4162,51,0.3947,2.2683,6.9823
-2.6481,45,0.4243,2.438,7.4484
-0.0894,74,0.4178,2.4009,7.1573
0.4399,60,0.4499,2.5853,7.0106
-2.9864,76,0.438,2.5167,6.4089
1.2746,53,0.4282,2.4606,6.6077
-0.2547,69,0.5311,3.0521,15.243
-4.3578,70,0.4478,2.5729,5.8446
-2.9191,68,0.3922,2.2534,4.3711
1.1805,69,0.4526,2.6009,8.1728
0.2639,57,0.4936,2.8362,10.3537
-4.7711,50,0.4947,2.8424,11.6308
3.8518,60,0.5104,2.9329,12.1084
-3.7131,58,0.3858,2.2172,3.8509
-4.1046,48,0.4273,2.4551,8.0253
-3.4609,55,0.4758,2.7341,11.1005
-1.9731,76,0.4491,2.5804,7.6758
-0.7136,61,0.4749,2.7288,10.6449
1.2506,61,0.4587,2.6358,8.077
-0.7861,67,0.4578,2.6306,9.9115
-0.0703,118,0.5826,3.3476,17.211
-2.399,87,0.5157,2.9633,12.7647
1.3105,87,0.5705,3.2784,14.906
-0.1004,97,0.5676,3.2616,16.768
-1.3247,98,0.5942,3.4147,20.9159
-4.238,91,0.4893,2.8114,9.3286
0.0984,62,0.5052,2.9032,12.5
-0.7876,62,0.4784,2.7491,11.2197
-4.4802,83,0.4371,2.512,5.254
-1.4106,95,0.5134,2.9498,8.92
-4.6033,89,0.5123,2.9435,13.2929
-0.3108,84,0.5474,3.1453,14.2833
-0.9998,105,0.5549,3.1883,15.216
-0.9247,96,0.5345,3.0712,14.2382
-3.2498,54,0.4512,2.5927,7.0518
-3.549,54,0.2458,1.4123,2.4028
-4.6185,70,0.4817,2.7681,10.8678
-1.1575,89,0.4769,2.7405,9.2603
-2.8048,126,0.5475,3.1463,13.6115
-2.9173,96,0.5296,3.0433,12.2861
-4.0055,89,0.4914,2.8235,10.7179
-3.9646,66,0.4106,2.3596,4.859
-4.7759,91,0.4762,2.7362,10.3267
0.316,96,0.599,3.4421,21.0051
-0.6189,105,0.4328,2.487,7.2236
0.9141,81,0.471,2.7063,5.6571
0.4051,91,0.3604,2.0711,2.8049
-1.4708,102,0.5927,3.4059,20.1569
-3.8065,82,0.485,2.7872,9.864
-4.4094,81,0.4918,2.8257,9.8968
-1.0723,78,0.5318,3.0557,14.5178
-4.1837,61,0.389,2.2351,4.5595
-0.1882,86,0.4858,2.7915,7.4863
-1.4627,112,0.5895,3.3871,17.5977
-2.5662,134,0.5889,3.3838,13.3674
-2.0175,88,0.5235,3.0081,12.7619
0.5158,93,0.4068,2.3377,5.2213
0.6471,91,0.5868,3.372,18.1625
-0.3915,90,0.5371,3.0864,12.2479
-1.9001,98,0.5606,3.2213,14.6995
-1.671,91,0.5117,2.9402,9.3269
0.6456,88,0.5176,2.9743,13.6805
-3.8325,63,0.4046,2.3248,5.9838
-4.1472,94,0.4543,2.6107,7.5029
-1.0086,62,0.4986,2.8653,10.8357
-1.1985,74,0.4797,2.7563,9.0035
-1.3093,101,0.5057,2.9059,9.3057
-0.9254,65,0.5127,2.9463,13.0111
1.5213,95,0.5705,3.2784,17.4823
-0.6449,97,0.5528,3.1766,16.7178
-3.0127,90,0.4879,2.8036,8.8798
1.1965,80,0.4515,2.5944,7.5964
-4.3969,101,0.5422,3.1154,12.4598
0.7396,74,0.4732,2.7192,7.9089
-1.0441,90,0.4284,2.4617,6.9317
-0.8357,70,0.482,2.7698,9.6312
-1.4392,63,0.474,2.7236,9.9292
-3.7868,82,0.5113,2.9378,11.3642
-0.7934,86,0.4647,2.6704,7.4629
-4.1658,46,0.4693,2.6965,9.4375
-2.836,75,0.4304,2.4731,6.2622
-2.9492,102,0.499,2.8673,9.5813
-4.1792,82,0.4431,2.5464,6.6497
1.7016,70,0.4311,2.4774,6.4274
-3.7964,81,0.4374,2.5134,6.018
1.4666,74,0.3065,1.7612,2.7284
-0.4324,90,0.596,3.4247,20.5388
-1.1258,80,0.343,1.9708,4.3564
-0.2276,85,0.5242,3.0123,13.2864
-4.0733,101,0.4884,2.8066,8.6552
-4.4263,92,0.4644,2.6684,9.7652
-4.3727,94,0.54,3.1029,14.9281
-0.9459,81,0.5254,3.0191,13.3678
-0.8221,75,0.5254,3.0193,12.4974
-2.5049,64,0.4605,2.6462,8.3144
0.2039,115,0.6064,3.4843,20.3747
-0.9658,120,0.5241,3.0118,12.5653
-4.4528,97,0.401,2.3045,5.568
-2.4277,89,0.5042,2.8974,10.5115
-1.2615,74,0.4445,2.5543,6.9832
0.4869,81,0.5025,2.8872,9.2337
-4.8627,86,0.5146,2.9569,13.178
0.3541,68,0.349,2.0056,4.0234
-0.9329,62,0.4449,2.5565,8.6257
-0.3258,94,0.4197,2.4114,5.4513
-4.3169,71,0.5006,2.8768,11.7981
-0.9794,68,0.4191,2.4081,4.7554
-1.9718,97,0.5126,2.9456,8.6258
0.3028,92,0.5552,3.1905,16.0124
-4.3025,64,0.393,2.2582,5.8581
-0.2612,109,0.545,3.1316,12.9912
-1.7817,100,0.5229,3.0046,11.3926
-0.6139,76,0.4877,2.8022,7.3617
-4.3755,92,0.4892,2.8111,11.3055
